epoch,loss,accuracy,wf1,uar,lr,time_epoch_sec,optimizer_steps
1,1.3471857738031925,0.46368932038834954,0.4750291821234868,0.4735572835010935,2e-05,254.3375,242.0
2,1.178127337613152,0.5766990291262136,0.5864155536924278,0.5922785580687423,2e-05,222.28490625,242.0
3,1.0707366116918793,0.6380582524271845,0.6475066963192013,0.6534417641059568,2e-05,219.766453125,242.0
4,0.9934616565241396,0.6855663430420712,0.6924629552109482,0.7064165414309217,2e-05,220.232390625,242.0
5,0.9202433839199227,0.7351456310679612,0.7406995745924493,0.7559605712001207,2e-05,220.392359375,242.0
6,0.8612736179913518,0.7611650485436893,0.7653436690817355,0.7785089647550909,2e-05,221.462609375,242.0
7,0.8031464139080357,0.8023300970873787,0.8052634491061372,0.817233867405516,2e-05,220.320671875,242.0
8,0.7559222909470592,0.8248543689320388,0.8273476475176625,0.8403040076594446,2e-05,221.117703125,242.0
9,0.7277277178748912,0.8397411003236246,0.8416831615296086,0.8521612319105338,2e-05,222.9780625,242.0
10,0.6993012006383112,0.8643365695792881,0.8656911635762207,0.874701097318188,2e-05,221.285953125,242.0
11,0.664755106751587,0.8789644012944984,0.8799951642599885,0.8902416087988353,2e-05,220.546984375,242.0
12,0.6429491258284806,0.8957928802588997,0.8965415602869574,0.9066344188593307,2e-05,221.724484375,242.0
