,anger,disgust,fear,joy,neutral,sadness,surprise
anger,1399,112,57,53,20,33,19
disgust,133,822,103,102,242,125,14
fear,76,55,444,21,16,72,13
joy,169,197,98,1125,48,49,14
neutral,69,166,53,64,1415,180,3
sadness,21,56,71,25,33,1191,7
surprise,27,64,39,15,11,90,1016
