run,eval,acc,macro_f1,wf1,uar
_tmp_eval_smoke,eval,0.4272030651340996,0.26570895141516276,0.42240917777345777,0.2640995347609186
exp1_robust_classbal,eval_testA,0.7442178198497121,0.7469158669882089,0.7591287957044185,0.7501261220402002
exp1_robust_classbal,eval_testB,0.4482758620689655,0.2383889102807357,0.4231601992739435,0.23581743737693758
exp2_robust_classbal_moddrop,eval_testA,0.7442178198497121,0.7441460853954108,0.7611268163340459,0.7513120248717627
exp2_robust_classbal_moddrop,eval_testB,0.42681992337164754,0.24805343584379763,0.4160834932460051,0.24688581252685265
exp3_robust_classbal_moddrop_ema,eval_testA,0.7603200936859569,0.7566467306463877,0.7684000783413938,0.7581202923441682
exp3_robust_classbal_moddrop_ema,eval_testB,0.42030651340996167,0.2468973222613593,0.41580342328451664,0.25012579661994006
exp4_robust_moddrop,eval_testA,0.7547574899970723,0.7447345432597066,0.7565056987180283,0.7512439422251702
exp4_robust_moddrop,eval_testB,0.43103448275862066,0.25917249793622876,0.42281727603445407,0.2570316866543612
exp5_robust_moddrop_ema,eval_testA,0.7571972284571094,0.7507756372484186,0.7654822725350757,0.7591155363409694
exp5_robust_moddrop_ema,eval_testB,0.4272030651340996,0.26570895141516276,0.42240917777345777,0.2640995347609186
mfcc80_bs128,eval,0.45440613026819926,0.2369003182548439,0.4232217118210773,0.23769486304283707
mfcc80_bs128_testA,eval,0.7233336586317947,0.7142232330757817,0.7244017496014562,0.7196495789718352
robust_mfcc80_bs128,eval,0.7669561822972577,0.7597325691430763,0.7707902045214851,0.7592725464872518
robust_mfcc80_bs128_testB,eval,0.43754789272030653,0.2531301074706262,0.4253582927723948,0.2500173993345981
run_1,eval,0.15402298850574714,0.03813318155947638,0.04111370609515959,0.14285714285714285
run_2,eval,0.7571972284571094,0.7498188942296805,0.7583545906101309,0.7521364154875914
run_best,eval_testA,0.7539611091105509,0.752125013841014,0.7645618205484799,0.7556760608633556
run_best,eval_testB,0.4521072796934866,0.26596208945494954,0.43986739462334906,0.26322662874670727
run_ctx,eval_testA,0.7427079582283039,0.7414040336622929,0.7510109209274387,0.7419510816965754
run_ctx,eval_testB,0.4444444444444444,0.24826128554773733,0.42500654559934337,0.24444824759035802
run_ctx_meld_ft,eval_testA,0.7418977313647821,0.7406533043298956,0.7505684776108175,0.7454928677510221
run_ctx_meld_ft,eval_testB,0.40306513409961686,0.25582511338956504,0.4120390539889966,0.25684972168502007
run_hf_e2e_1,eval_testA,0.06060606060606061,0.016326530612244896,0.006926406926406926,0.14285714285714285
run_hf_e2e_1,eval_testB,0.4812260536398467,0.0928238858916562,0.3126849060381001,0.14285714285714285
run_hf_e2e_all_1,eval_testA,0.6954545454545454,0.6812099230275329,0.6951602433801118,0.6754702960229857
run_hf_e2e_all_1,eval_testB,0.41762452107279696,0.26526124731126166,0.42653073377985135,0.2690286291602014
run_hf_e2e_all_stage1_1,eval_testA,0.7277777777777777,0.6820124293703327,0.7190863090221208,0.6581675826013236
run_hf_e2e_all_stage1_1,eval_testB,0.6206896551724138,0.3788851236560201,0.5818462593789693,0.3649852991678338
run_hf_e2e_all_stage1_auto,eval_testA,0.7277777777777777,0.6820124293703327,0.7190863090221208,0.6581675826013236
run_hf_e2e_all_stage1_auto,eval_testB,0.6206896551724138,0.3788851236560201,0.5818462593789693,0.3649852991678338
