epoch,loss,accuracy,wf1,uar,lr,time_epoch_sec,optimizer_steps
1,1.2678078682757785,0.4982573899574029,0.5063798329631259,0.5127840178511618,2e-05,283.85915625,243.0
2,0.9595756431587346,0.6962695236865883,0.7004497032161121,0.7089206583989718,2e-05,251.992734375,243.0
3,0.8503220161807542,0.7688137343487802,0.771869976494321,0.7796526112771787,2e-05,253.148375,243.0
4,0.7758024645202526,0.8052149219052537,0.8076127346779512,0.8147265892128572,2e-05,251.46290625,243.0
5,0.7175662310427814,0.8407125338840842,0.8421174534889144,0.8485741072158395,2e-05,251.261671875,243.0
6,0.6849310313084209,0.8595585387892087,0.8606770679003629,0.8659138278335957,2e-05,252.323640625,243.0
7,0.6542643420739652,0.8725958435523429,0.8734498496395402,0.8782284485533858,2e-05,254.2653125,243.0
8,0.6271069835997927,0.8914418484574674,0.8921838448922957,0.8966366868330916,2e-05,252.8033125,243.0
9,0.6057876249244171,0.9037046598683361,0.9042470420468961,0.9075466764627869,1e-05,254.88740625,243.0
