epoch,loss,accuracy,wf1,uar,lr,time_epoch_sec,optimizer_steps
1,1.3535942440226472,0.4678720083246618,0.4810849727899592,0.4774577285786465,2e-05,250.077171875,241.0
2,1.1503918791164593,0.5877991675338189,0.5979858086443876,0.6060060308226706,2e-05,219.024375,241.0
3,1.06572365704982,0.6317637877211238,0.642066563546622,0.6498648061686021,2e-05,218.46178125,241.0
4,0.9916566828039013,0.6848335067637877,0.6921458684561117,0.7081524519058121,2e-05,216.469546875,241.0
5,0.904329554254381,0.7354318418314256,0.7415606335059457,0.7549086567887757,2e-05,218.1574375,241.0
6,0.8432012055530509,0.7725026014568158,0.7770415071713782,0.7925292466271884,2e-05,219.10740625,241.0
7,0.7995430830241986,0.7965660770031218,0.7999661777544763,0.8153822064738706,1e-05,218.892296875,241.0
8,0.720908597251255,0.8404006243496358,0.8426202281408887,0.8587323384446293,1e-05,219.04559375,241.0
9,0.6730768159884692,0.8653746097814776,0.8669232027754415,0.8821107888075871,1e-05,218.767703125,241.0
