epoch,loss,accuracy,wf1,uar,lr,time_epoch_sec,optimizer_steps
1,0.5699759945430669,0.9674228138808365,0.9674324996109611,0.9670140978658005,2e-05,1675.203625,2221.0
2,0.564207082775294,0.9696040077678647,0.9696094333484478,0.9695626275725082,2e-05,1655.851875,2221.0
3,0.5565115679112593,0.9738960344487912,0.9739041770822389,0.9732587471314625,2e-05,1655.181125,2221.0
4,0.5516071181686357,0.9762883116152092,0.9762905856635191,0.9754526901261565,1e-05,1656.9585,2221.0
5,0.5303824349677129,0.9844783428555346,0.984480787155832,0.9838890591267061,1e-05,1650.152375,2221.0
