epoch,loss,accuracy,wf1,uar,lr,time_epoch_sec,optimizer_steps
1,1.360856079718244,0.4461081709048664,0.45686035391144786,0.4508707195188745,2e-05,80.884609375,243.0
2,1.0609362894325114,0.6432167290564089,0.6500030859172939,0.6463693734184978,2e-05,49.01951171875,243.0
3,0.9391252110815977,0.7178262553246418,0.722978146617004,0.7196998357988967,2e-05,49.1249765625,243.0
4,0.8525841578339183,0.7641667742351879,0.7674996943402487,0.768983116739426,2e-05,50.45680078125,243.0
5,0.7914502393188393,0.7966954950303343,0.7996638397539741,0.8017274522639402,2e-05,50.1224921875,243.0
6,0.7489178551386692,0.8235445979088679,0.8258523465569808,0.8286356238183271,2e-05,49.655828125,243.0
7,0.7240864342222587,0.8378727249257777,0.840085222593038,0.8399878573653903,1e-05,51.1340546875,243.0
8,0.6560769820499531,0.8698851168194139,0.8713024828452594,0.872466797313899,1e-05,49.34646484375,243.0
9,0.6338817771094775,0.8818897637795275,0.8831448964683808,0.8835627609685508,1e-05,49.20001953125,243.0
10,0.6314179510766804,0.8829224215825481,0.8840161075388855,0.8847667646476467,5e-06,49.362015625,243.0
11,0.5971069868355393,0.8949270685426617,0.8961409988897544,0.8996048692200871,5e-06,50.57358984375,243.0
