epoch,loss,accuracy,wf1,uar,lr,time_epoch_sec,optimizer_steps
1,1.330368116192161,0.4575964889634697,0.4652989050372604,0.46979806406541047,2e-05,259.851109375,243.0
2,1.1387206724232606,0.5815154253259326,0.5901345108750274,0.5972351067898283,2e-05,221.68478125,243.0
3,1.026823589382317,0.6446366335355621,0.6508326614353925,0.6648394211443307,2e-05,223.259859375,243.0
4,0.9486259228647393,0.6923970569252614,0.6977884397158248,0.7120620946450138,2e-05,221.467265625,243.0
5,0.8934494111096919,0.7300890667355106,0.7341413142707953,0.748895664158042,1e-05,220.83459375,243.0
6,0.7887745886306324,0.7862398347747516,0.7894642991852965,0.8033395036429738,1e-05,236.95634375,243.0
7,0.7376733769351196,0.8161869110623468,0.8187386570087529,0.8308812074011322,1e-05,223.047421875,243.0
8,0.7121167900763251,0.8306441203046341,0.8323868145617648,0.8459613273985724,1e-05,222.571453125,243.0
9,0.6788688375516847,0.8496192074351362,0.8511466341183862,0.8639783724216197,1e-05,224.6074375,243.0
10,0.6575128610663157,0.8642054989028011,0.8654455321213894,0.8791777422277746,5e-06,222.346234375,243.0
11,0.6229501235818992,0.8849877371885891,0.8860055320197376,0.897449342309689,5e-06,223.474984375,243.0
