epoch,loss,accuracy,wf1,uar,lr,time_epoch_sec,optimizer_steps
1,1.340514301695511,0.4650104058272633,0.4766630170724026,0.48986253579872713,2e-05,249.711421875,241.0
2,1.1514720065784751,0.5744016649323621,0.5838061484835004,0.5946686064142692,2e-05,218.883375,241.0
3,1.0538922538370297,0.644120707596254,0.6524542904096279,0.6654524967996528,2e-05,220.800296875,241.0
4,0.9704157967473168,0.6897762747138397,0.6967543646990437,0.71275752990187,2e-05,220.63846875,241.0
5,0.8949475434766724,0.7410249739854319,0.7459937997173863,0.7607134569761637,2e-05,218.330296875,241.0
6,0.8432191938130839,0.7731529656607701,0.7774587983300624,0.7923363617395429,2e-05,220.61596875,241.0
7,0.8021742773787909,0.7917533818938606,0.7953011361520557,0.8141512882995381,2e-05,220.33403125,241.0
8,0.7434899514225097,0.8257023933402705,0.8282275772336751,0.845717704570417,2e-05,218.366875,241.0
9,0.7098580498042886,0.8472944849115505,0.8494896963611954,0.860068414799058,2e-05,218.746921875,241.0
10,0.6727676501073152,0.872528616024974,0.8737812501050114,0.8850162375354245,2e-05,220.031078125,241.0
11,0.6581667109347035,0.8786420395421436,0.8800383164467619,0.8905249163426718,2e-05,219.427578125,241.0
12,0.6339019133508763,0.8978928199791884,0.898675344704622,0.9043867070754065,2e-05,218.05053125,241.0
