epoch,loss,accuracy,wf1,uar,lr,time_epoch_sec,drop_audio_rate,drop_text_rate,optimizer_steps
1,1.5302791953450139,0.5362055989438749,0.5435198463921274,0.4978491342194829,0.0005,41.2725703125,0.17904776005231274,0.18045428187190782,634.0
2,1.1772053687086028,0.6985971795536144,0.7079344514388508,0.6692457780681671,0.0005,13.26659375,0.18179911413801186,0.17867762273136667,634.0
3,1.0707346845599168,0.7439636771909045,0.7531414597147934,0.7174987048809769,0.0005,12.2814208984375,0.18049129560400243,0.1813426114421784,634.0
4,1.0121284973530031,0.7711934461018372,0.7788801100160992,0.7481260224728958,0.0005,21.342958984375,0.18060233680028623,0.18005946872956533,634.0
5,0.9852739271733032,0.7843703347275173,0.7911424536540087,0.7622250828998421,0.0005,16.073740234375,0.17857891944578105,0.18062701262168265,634.0
6,0.9680559258550953,0.7921555563780829,0.7985402795144237,0.7720690704792379,0.0005,15.793900390625,0.1767405707517489,0.18271211952967883,634.0
7,0.9454843757554113,0.8014583410445275,0.8074945703547348,0.7822548279052665,0.0005,15.32922265625,0.18189781742359748,0.1777892931610961,634.0
8,0.9307116610377524,0.806122071288448,0.8117841589722281,0.7889134657225808,0.00025,15.8823271484375,0.18068870217517366,0.17862827108857385,634.0
9,0.8686983896334904,0.8337589912524214,0.8390876066306258,0.8187865506544575,0.00025,12.558181640625,0.18014583410445276,0.17877632601695229,634.0
10,0.8479482054297095,0.8441845257924023,0.8491639086065929,0.8294027478073244,0.00025,12.6059716796875,0.18005946872956533,0.1803679164970204,634.0
11,0.8332511949676851,0.8505632256233729,0.8550912244464174,0.8361789353768954,0.000125,12.8690205078125,0.18282316072596266,0.18056532306819162,634.0
12,0.7951037723177303,0.8682064379218023,0.8725928111534024,0.8566793845528584,0.000125,14.2898310546875,0.1798127105156013,0.17907243587370913,634.0
13,0.7763895930044435,0.8752267091090795,0.8792906740745692,0.8663198367575758,0.000125,13.347640625,0.1808367571035521,0.180343240675624,634.0
14,0.7586321774749046,0.8843814388471456,0.8881568578713095,0.8754668606574022,6.25e-05,12.836056640625,0.1815523559240478,0.18120689442449817,634.0
15,0.7390034381507087,0.8938446163526669,0.8978744398637682,0.8870852644713738,6.25e-05,12.9782021484375,0.18178677622731368,0.18004713081886714,634.0
