epoch,loss,accuracy,wf1,uar
1,0.9660535308954291,0.6492204134899375,0.6606179846314583,0.6464357829434386
2,0.7679709845940583,0.7209973212445909,0.7297477195910489,0.7162062519666319
3,0.6929168955016671,0.7471667010096847,0.7538795102907268,0.7441703623432668
4,0.6477761767896226,0.7653547633766056,0.7705465835827305,0.7627674673833672
5,0.6191410981517333,0.7767703825812212,0.7809914830025476,0.7734377938441048
6,0.6010425602667557,0.7829521258328181,0.7864712193253733,0.7797006061951259
7,0.5726192655852556,0.7935984614327907,0.7967675231760715,0.7909251485715643
8,0.5073715580624124,0.8162785905625386,0.8183985608576718,0.8151298512878575
9,0.4820888624273819,0.8262518030084484,0.82805156107503,0.8254460427456926
10,0.4622570224905155,0.8318016347276599,0.8335192359731598,0.8311821899820152
11,0.445901122919535,0.8386015523044165,0.8401192793920267,0.8385286162225289
12,0.4104468374001275,0.8503606016896765,0.8516014862604157,0.8512291439895295
13,0.3975201490284183,0.8552785218765026,0.856414990214939,0.855956940674525
14,0.388491600625372,0.8592485747647504,0.8603694454220829,0.8604347024367357
15,0.3687761857734128,0.8670238340545368,0.8679400008813465,0.8685584041010161
16,0.3627982537807348,0.8689607802733704,0.8698288360269325,0.8704593142363184
17,0.3582012820570537,0.8706092451404629,0.8714294388167716,0.8721671271620787
