epoch,loss,accuracy,wf1,uar,lr,time_epoch_sec,optimizer_steps
1,2.647673743207219,0.19271198318149965,0.23228537973142085,0.17020325544470705,0.001,165.1893125,625.0
2,2.2205472919291496,0.2977275002502753,0.34461891594698274,0.24379152896034723,0.001,134.18471875,625.0
3,2.157636248441248,0.36139753729102014,0.40546697707747226,0.28051545825975427,0.001,151.538421875,625.0
4,2.1268884522717495,0.40724797277004704,0.4430008359703823,0.313916146282821,0.001,150.826265625,625.0
5,2.10064075825892,0.43067374111522677,0.46458368133660616,0.328839281973914,0.0005,157.4640625,625.0
