epoch,loss,accuracy,wf1,uar,lr,time_epoch_sec,optimizer_steps
1,0.9469431885573608,0.9921914105516068,0.9921946617351719,0.9906068929990982,1e-05,276.136625,313.0
2,0.9426815450603223,0.993092401641806,0.9930956085469526,0.9919210609490072,1e-05,245.426328125,313.0
3,0.9419249200238541,0.9950946040644709,0.9950966756436113,0.9938420136011688,1e-05,243.884703125,313.0
4,0.9441126272692457,0.9923916307938733,0.992394384852091,0.9903545303279723,5e-06,245.470640625,313.0
5,0.9423304550615991,0.9965962558814696,0.9965980290301796,0.995358028678601,5e-06,245.47334375,313.0
