epoch,loss,accuracy,wf1,uar,lr,time_epoch_sec,drop_audio_rate,drop_text_rate
1,1.4345404377890218,0.5252146438629026,0.5277768462605832,0.5045209313185006,0.0005,83.5159609375,0.17903702177347344,0.1805343773610825
2,1.0969733491819371,0.6841541314650732,0.6906379124940282,0.6633533592519607,0.0005,14.00850390625,0.1812487121368226,0.17855621952057146
3,1.0018953318516954,0.7288962153994093,0.7350536724207131,0.7108633499821965,0.0005,13.95266796875,0.18075417267669483,0.18071296105501752
4,0.9559211649993953,0.7507383748883852,0.755602569584371,0.7334665541645836,0.0005,15.51873046875,0.18245758637269044,0.18087780754172678
5,0.9249495341805805,0.7656020331066694,0.7699591574169757,0.7497327453306217,0.0005,14.362431640625,0.17796551960986332,0.17942166357579503
6,0.9097227707563565,0.7735558760903908,0.7774611921494884,0.7587696000139904,0.0005,14.11171875,0.17938045195411773,0.18293838862559242
7,0.8950863785907146,0.781702039975273,0.7858227300638582,0.7676738359889993,0.0005,14.3806416015625,0.17786935915928292,0.17987499141424548
8,0.8713692553186329,0.7898894154818326,0.7933885289992958,0.776955112039308,0.0005,14.351783203125,0.18072669826224327,0.17870732880005494
9,0.854043125051646,0.7988735490074867,0.8020218130325154,0.7857625049729748,0.00025,14.482107421875,0.18089154474895253,0.17791057078096023
10,0.79137626261868,0.8275156260732193,0.830039980306479,0.8146423574842335,0.00025,14.6529541015625,0.17884470087231266,0.18085033312727522
11,0.7618587558712799,0.8427776633010509,0.8449667687964222,0.8319973292098704,0.00025,14.70074609375,0.18139982141630606,0.17942166357579503
12,0.7457746567163782,0.8509513016003847,0.8529669751072242,0.8403934862644763,0.000125,15.01603125,0.1816196167319184,0.18255374682327083
13,0.7004086656134505,0.8728346727110379,0.8745427747764181,0.8655696986433032,0.000125,14.978353515625,0.18174325159695034,0.1776907754653479
14,0.6758647769482813,0.8849371522769421,0.8865131043675964,0.8784025602379314,0.000125,13.086751953125,0.17889964970121575,0.1801909471804382
15,0.6660642155694375,0.892080500034343,0.8937299174588872,0.8862856535076286,6.25e-05,13.3383369140625,0.18107012844288756,0.18083659592004944
16,0.6389335332945879,0.9060375025757264,0.9075511669602846,0.8997069475178454,6.25e-05,13.292294921875,0.18358403736520365,0.1796826705130847
