epoch,loss,accuracy,wf1,uar,lr,time_epoch_sec,optimizer_steps
1,1.3623172073359515,0.44299390774586594,0.45214362350273507,0.46653792633731556,2e-05,255.049921875,252.0
2,1.150938931825252,0.5742882009200547,0.5842355504602615,0.6004700118426709,2e-05,222.18515625,252.0
3,1.0518071710596508,0.6335944299390774,0.6424048226839086,0.6627365265860523,2e-05,224.036203125,252.0
4,0.9663382385050674,0.6874300634091757,0.6937562164809447,0.7154565495665414,2e-05,221.67053125,252.0
5,0.9015605430556785,0.7293298520452568,0.7344942945887509,0.7575556890439169,2e-05,221.398546875,252.0
6,0.8307172037854681,0.7707323138132538,0.7747268190684888,0.7957883689028813,2e-05,221.208953125,252.0
7,0.8021622387113136,0.7969663061046873,0.8003176467830381,0.816563352360426,2e-05,223.382375,252.0
8,0.7502096140249799,0.8203406689046375,0.8226963078498084,0.8436382709785437,2e-05,220.584703125,252.0
9,0.717914325557626,0.8434663682705458,0.8454698829575674,0.8589805948172347,2e-05,221.01734375,252.0
10,0.6814371467592644,0.8642297650130548,0.8654968793086837,0.8816666983184984,2e-05,221.6131875,252.0
