epoch,loss,accuracy,wf1,uar,lr,time_epoch_sec,optimizer_steps
1,1.334067106691593,0.4626383190351859,0.4739866305205238,0.48378118201692005,2e-05,253.890296875,252.0
2,1.1356977451859933,0.5843590699987566,0.5940140553061111,0.6098604066821114,2e-05,221.5551875,252.0
3,1.0647487569682326,0.6349620788263086,0.6440772968175642,0.657955930618842,2e-05,220.89640625,252.0
4,0.9746425042294098,0.6834514484645033,0.6902650329075616,0.7100486832212485,2e-05,223.56890625,252.0
5,0.8985168180565891,0.7338057938580131,0.7393576463946134,0.758897564865123,2e-05,222.388421875,252.0
6,0.8433315825969236,0.7706079820962327,0.774837322039048,0.7930765763405254,2e-05,223.487421875,252.0
7,0.7867232884071841,0.8040532139748849,0.8070304820964492,0.8249733786196434,2e-05,222.494703125,252.0
8,0.746882232211055,0.8273032450578143,0.8302117381850568,0.8463047225428151,2e-05,222.1705625,252.0
9,0.7050246984214906,0.8489369638194704,0.8506928328825708,0.8635495020168535,2e-05,222.583109375,252.0
10,0.6768249082176985,0.8677110530896431,0.8689312596954537,0.8815120704081465,1e-05,222.542734375,252.0
11,0.6136888414565772,0.9035185875916947,0.9041188576916903,0.9143226149519459,1e-05,221.1290625,252.0
12,0.5959503240258068,0.9133407932363546,0.9138275246085854,0.9235866229756196,1e-05,222.946578125,252.0
