epoch,loss,accuracy,wf1,uar,lr,time_epoch_sec,optimizer_steps
1,1.3733747646344119,0.45082680591818974,0.46250275829599186,0.4650999523563797,2e-05,253.279171875,252.0
2,1.1647059093374792,0.5621036926519956,0.5727438431532444,0.586658313104569,2e-05,222.778328125,252.0
3,1.0656458758439322,0.6325997762029094,0.6420779490043972,0.6558339290188603,2e-05,222.430234375,252.0
4,0.9760898257552814,0.6851920925027974,0.6921865424423597,0.7114370426999986,1e-05,223.448421875,252.0
5,0.8554383647778312,0.7555638443366903,0.7606763666078524,0.782748073486556,1e-05,221.320734375,252.0
6,0.805290609898295,0.7859007832898173,0.7897805665963422,0.809293079265878,1e-05,221.4485625,252.0
7,0.7677181075791081,0.8082804923535994,0.8111301169515125,0.8341100772780898,1e-05,219.357515625,252.0
8,0.7452954070108322,0.8194703468854905,0.8218495256157432,0.8446104867788136,1e-05,222.41403125,252.0
9,0.7134419669118461,0.8434663682705458,0.8454964956136091,0.8615800442983947,1e-05,220.998734375,252.0
10,0.6924258230649372,0.855402213104563,0.8569626379116659,0.8739384822749955,1e-05,221.6863125,252.0
11,0.6729271248414654,0.8687057068258113,0.8698658943049725,0.8842988200636286,5e-06,222.89515625,252.0
12,0.6271556259224282,0.8924530647768246,0.8933438990132158,0.9068443862812114,5e-06,221.390203125,252.0
