epoch,loss,accuracy,wf1,uar,lr,time_epoch_sec,optimizer_steps
1,1.3407531941346398,0.4557752341311134,0.4655549272099053,0.48059661536620224,2e-05,254.797984375,241.0
2,1.1583719553113851,0.5775234131113424,0.5870914050013718,0.6000727321384692,2e-05,218.7684375,241.0
3,1.0649054416074466,0.6338449531737773,0.641594189736602,0.6548100844257596,2e-05,220.61115625,241.0
4,0.9878931172680532,0.6818418314255983,0.6884086290146963,0.7030459118243565,2e-05,219.076578125,241.0
5,0.9090697398170844,0.7313995837669095,0.7371682274639062,0.7546606811363935,2e-05,218.948015625,241.0
6,0.8509676078107677,0.7644380853277836,0.7692825255609737,0.7858941570304548,2e-05,220.652875,241.0
7,0.8055336782388955,0.795525494276795,0.7989532472345726,0.8148264913228491,2e-05,221.4800625,241.0
8,0.7649396476214684,0.815426638917794,0.8181804955443749,0.8349113405412811,2e-05,221.13628125,241.0
9,0.7196154656134832,0.8433922996878251,0.8456938836223183,0.857312815022361,2e-05,220.070875,241.0
10,0.6776866313694171,0.8662851196670135,0.8678803995154706,0.8824890857004122,1e-05,218.47003125,241.0
11,0.6213458149415769,0.8991935483870968,0.899923477038443,0.9100844621209645,1e-05,217.51259375,241.0
