epoch,loss,accuracy,wf1,uar,lr,time_epoch_sec,drop_audio_rate,drop_text_rate,optimizer_steps
1,1.0041415877905033,0.8916808489338273,0.899925062845985,0.9033902510764487,0.0002,42.799296875,0.09750725798378217,0.09220142156372009,79.0
2,0.9860247392556082,0.8995895485033537,0.9072733172424402,0.9142798554096755,0.0002,1.9247060546875,0.09760736810491541,0.0918009810791871,79.0
3,0.982197729063077,0.9019921914105516,0.9101308739007818,0.9148989084266128,0.0002,1.6086480712890625,0.09570527580338373,0.09390329362298529,79.0
4,0.9716820523048834,0.9067974772249474,0.912673961067298,0.9165477435708672,0.0002,1.5483304443359376,0.09540494543998398,0.09680648713584944,79.0
5,0.9685917325248493,0.904595054560016,0.9127172732276697,0.9186773527959612,0.0002,1.705996826171875,0.09850835919511462,0.095004504955451,79.0
6,0.9668857407577046,0.9083992391630794,0.9161476229045608,0.9164481836399971,0.0001,1.5205294189453125,0.09950946040644709,0.09440384422865152,79.0
7,0.9552030312619967,0.9113024326759436,0.9191449724077064,0.9236453961342789,0.0001,1.5178692626953125,0.0965061567724497,0.09410351386525177,79.0
8,0.9470080478924843,0.9140054059465412,0.9192943576317884,0.9267893294593325,0.0001,1.5942371826171875,0.08989888877765542,0.09910901992191411,79.0
9,0.9443572869958647,0.9182100310341376,0.9234403902222167,0.9297487850161993,0.0001,1.5437041015625,0.09170087095805386,0.09340274301731905,79.0
10,0.9444290382008329,0.9153068375212734,0.921263264249611,0.9256304777983011,0.0001,1.504107177734375,0.09300230253278606,0.09820802883171488,79.0
11,0.9545916311613658,0.9172089298228051,0.9222977807344716,0.923967190864348,5e-05,1.4800609130859375,0.09680648713584944,0.09870857943738112,79.0
12,0.9396443567496542,0.9217138852738012,0.9277029986014069,0.9304305600183078,5e-05,1.6079864501953125,0.1004104514966463,0.09240164180598659,79.0
13,0.9439702832146275,0.9238161978175994,0.928319560725713,0.9287428425288555,5e-05,1.5664429931640624,0.0948042847131845,0.09640604665131645,79.0
14,0.938381671995023,0.9232155370907998,0.9275920227487925,0.9326091409745195,5e-05,1.68373095703125,0.09240164180598659,0.09850835919511462,79.0
15,0.9330121468275633,0.92691961157273,0.9297597384900511,0.9387213285183019,5e-05,1.6591077880859375,0.09950946040644709,0.09620582640904995,79.0
16,0.9296867076383242,0.927720492541796,0.9313968926427094,0.9392321504009857,5e-05,1.5991402587890624,0.09550505556111723,0.08869756732405647,79.0
17,0.9374966482486509,0.9254179597557313,0.929204323514402,0.9343291532629705,2.5e-05,1.5394932861328126,0.09430373410751827,0.09600560616678346,79.0
18,0.923754995256373,0.928921813995395,0.9312062531094284,0.9409458295501362,2.5e-05,1.6144010009765626,0.09560516568225047,0.09880868955851436,79.0
19,0.9437192753874775,0.9291220342376614,0.9316822718532856,0.9314989091042394,2.5e-05,1.694322998046875,0.09360296325958554,0.09970968064871359,79.0
20,0.9256000736237336,0.9331264390829913,0.9367315593659663,0.9408813849260353,1.25e-05,1.5133133544921875,0.09600560616678346,0.09210131144258685,79.0
21,0.9259136836084115,0.9280208229051957,0.9324012589993017,0.9417299998778293,1.25e-05,1.5763775634765624,0.09730703774151567,0.09680648713584944,79.0
22,0.9210219035481342,0.9322254479927921,0.935219724058386,0.9442156840412942,1.25e-05,1.5232652587890625,0.09240164180598659,0.09440384422865152,79.0
