epoch,loss,accuracy,wf1,uar,lr,time_epoch_sec,optimizer_steps
1,0.997141489366569,0.9736710381419561,0.9737201661197419,0.9691194396614456,1e-05,284.459875,313.0
2,0.9758698911038661,0.9791770948042847,0.9792061385246824,0.976060939482508,1e-05,242.8800625,313.0
3,0.9706564819995366,0.9833817198918811,0.9834064390897042,0.9813211820206559,1e-05,241.862484375,313.0
4,0.970722976264587,0.9824807288016818,0.9825105633307653,0.9791801007450397,1e-05,241.895296875,313.0
5,0.9719464016552622,0.984983481830013,0.9849995024146992,0.9825545640198029,1e-05,240.758265625,313.0
6,0.9653698144905177,0.9855841425568125,0.9856096391826713,0.9837740855146117,1e-05,239.887546875,313.0
7,0.9531977084893366,0.9878866753428772,0.9879014621735277,0.9847656016399406,1e-05,241.575453125,313.0
8,0.9562272816368357,0.9893883271598759,0.9893936786312955,0.9869641997390672,1e-05,242.881765625,313.0
9,0.9534661302290613,0.9863850235258784,0.9864049860647703,0.9840545380352873,5e-06,242.36659375,313.0
10,0.9444818812837256,0.9908899789768746,0.9908954920647162,0.9895010679366919,5e-06,240.920453125,313.0
