epoch,loss,accuracy,wf1,uar,lr,time_epoch_sec,optimizer_steps
1,0.5730252647999421,0.9723096642853104,0.9723182753508803,0.9683404539804922,2e-05,1328.655625,1658.0
2,0.5772070693209318,0.9714802736988936,0.9714845754914497,0.9656471380672829,2e-05,1332.06475,1658.0
3,0.5734865339015225,0.9728374582948484,0.9728478325401774,0.9684788346320093,2e-05,1320.229125,1658.0
4,0.570404792577548,0.973440651448606,0.9734520152071724,0.9696909461110919,2e-05,1328.858375,1658.0
5,0.5664578641764942,0.9761173210684059,0.9761202442274465,0.9722413306718254,2e-05,1327.270125,1658.0
6,0.565813179980196,0.976871312510603,0.9768823568646035,0.9730190601309955,2e-05,1338.627625,1658.0
7,0.5615389218982213,0.9777384026691297,0.9777428726004581,0.9734247703115798,1e-05,1331.02,1658.0
8,0.5454052327351149,0.9844489265046842,0.9844483972258021,0.9810226747415725,1e-05,1335.278375,1658.0
