epoch,loss,accuracy,wf1,uar,lr,time_epoch_sec,optimizer_steps
1,1.2353878683959043,0.537638422296877,0.5496125509455768,0.5476442466837317,2e-05,287.24565625,252.0
2,0.9967246743759677,0.6870722906557173,0.6944690296949225,0.6989396564711128,2e-05,252.183015625,252.0
3,0.8897170465028418,0.7526440214010203,0.7583998734961346,0.7632861171041744,2e-05,255.98471875,252.0
4,0.809515593656189,0.8019161378623865,0.8056230064765662,0.8111237845372022,2e-05,252.855453125,252.0
5,0.7365586006242392,0.8406121687196715,0.842825321084623,0.8532884935624093,2e-05,254.5188125,252.0
6,0.7062727149422524,0.8567873584670898,0.858676842098042,0.8659143196588592,2e-05,253.889296875,252.0
7,0.6672512690893703,0.8811745676247356,0.8824033399524259,0.8869755688226575,2e-05,252.708734375,252.0
8,0.652487068111303,0.8917506532288167,0.8926297641794528,0.894251913632957,2e-05,253.585359375,252.0
9,0.6315444986870948,0.9030732860520094,0.9038521553125926,0.9084184452103788,2e-05,252.757421875,252.0
10,0.6081580071658715,0.9138982207291277,0.9146191710840655,0.9170469573056361,1e-05,253.044140625,252.0
11,0.5641462866444485,0.9362946373024761,0.9366073071517993,0.9399043753455169,1e-05,253.377171875,252.0
