epoch,loss,accuracy,wf1,uar
1,1.0225912306537848,0.6388213476200288,0.6527937701991927,0.6330060660991155
2,0.7687757267984062,0.7255718112507727,0.7351275218778345,0.723115278424278
3,0.7072426740764073,0.7440071433477574,0.7513283220595715,0.7423890817855329
4,0.663560657366446,0.7585411085926231,0.7645362236899822,0.7581545149321982
5,0.6294046862373166,0.7724019506834261,0.7774280675346293,0.7711444146892852
6,0.6070075809554384,0.7803970052888248,0.7848223004644918,0.7799121125268468
7,0.557120956123608,0.7963046912562676,0.7998330321156197,0.7970085084840717
8,0.5394227648151471,0.8016484648670925,0.8049149054318473,0.8027508817923342
9,0.541285590902283,0.8028436018957346,0.8061408945959625,0.8027175447496676
10,0.5335019091498976,0.8044096435194725,0.8073587749592369,0.8045174398530188
11,0.5241750249914091,0.8092314032557181,0.8120954947847335,0.8089360406588446
12,0.4936184920176625,0.8196304691256268,0.8221287113732018,0.819999809662353
13,0.48563843532056955,0.8223366989491037,0.824699518488533,0.8225596984638699
14,0.47601007762269026,0.8262655402156741,0.8284528358071928,0.8272121511028351
15,0.47205952066618284,0.8271996703070266,0.8294114128779831,0.8277836629958788
16,0.4677271071776673,0.8286695514801841,0.8308451542628938,0.8294686882822143
17,0.46234070656391135,0.8308812418435332,0.8330145458036755,0.8316828695686238
18,0.4565822331343176,0.8331478810357854,0.8351216957139551,0.8342401334435301
19,0.45189305700044957,0.834796345902878,0.8367297581366726,0.8358940124656894
20,0.4500611026095152,0.835332096984683,0.837206720249897,0.8360599767758309
21,0.43765223450005336,0.8400989078920256,0.8417836194938857,0.8412687680147988
22,0.4336769061933893,0.8411978844700873,0.8429546434302958,0.842429080835756
23,0.42960300612264596,0.8426128168143416,0.8443216539833984,0.8442675503369725
24,0.4243105545055572,0.8456762140256886,0.8471420227564692,0.8472762858637518
25,0.42315329155044834,0.846431760423106,0.8479163419052566,0.847809768594841
26,0.42204576394896776,0.8449893536644,0.846613815358834,0.8464170600125546
