epoch,loss,accuracy,wf1,uar,lr,time_epoch_sec,optimizer_steps
1,1.322842405529084,0.47754045307443366,0.48925961668317275,0.49156842000144285,2e-05,253.5815625,242.0
2,1.1472738551013293,0.594822006472492,0.6037697609596256,0.6129896378578512,2e-05,221.6058125,242.0
3,1.0570592472777012,0.644789644012945,0.652697788144241,0.662870246282596,2e-05,220.6329375,242.0
4,0.9672856970358049,0.6991585760517799,0.7059140670503512,0.7200130664409861,2e-05,220.63425,242.0
5,0.8962566762526059,0.7445954692556634,0.7493261145852002,0.7628591410528944,2e-05,221.239375,242.0
6,0.8451774710281768,0.7712621359223301,0.7751926441471528,0.7907921756600725,2e-05,221.695515625,242.0
7,0.7951427247339082,0.8028478964401294,0.8061559483284337,0.8207687857932868,1e-05,221.4044375,242.0
8,0.7101996803206533,0.8517799352750809,0.8537004318486344,0.8659293659424848,1e-05,220.687078125,242.0
9,0.683214556349134,0.8717152103559871,0.8731043065118645,0.8860890086607452,1e-05,221.65434375,242.0
10,0.6619413547762775,0.8796116504854369,0.8807136921007226,0.8914154435839872,1e-05,219.8340625,242.0
11,0.6451637899219796,0.888673139158576,0.8897131365332682,0.9011354988224993,5e-06,220.85321875,242.0
12,0.6065943511867214,0.9100323624595469,0.9106671210745648,0.9192182974315364,5e-06,222.6859375,242.0
