epoch,loss,accuracy,wf1,uar,lr,time_epoch_sec,optimizer_steps
1,2.085774580904141,0.39923916307938734,0.4260803074682843,0.3562362369925886,1e-05,254.76240625,313.0
2,2.00143415245975,0.42226449094003404,0.4509492808069374,0.4109179296492134,1e-05,204.923078125,313.0
3,1.955674657593476,0.4490940034037441,0.47226740477938856,0.4409372233695818,1e-05,203.616140625,313.0
4,1.8927082772106485,0.46461107217939734,0.48652672404564024,0.478152729886729,1e-05,205.88409375,313.0
5,1.8547672327723108,0.49454399839823804,0.5159111620655383,0.5133063930980146,1e-05,204.6366875,313.0
6,1.8060381694507857,0.5004504955450996,0.5219395461736396,0.5434289322146018,5e-06,203.239171875,313.0
7,1.7293154687682888,0.5309840824907398,0.5457192049302694,0.5821264201030443,5e-06,204.120234375,313.0
8,1.6990913761928281,0.5500050055060567,0.5664192809483694,0.6010217609964874,5e-06,206.184296875,313.0
9,1.663165161900602,0.5646210831915106,0.5790731838179163,0.6241013329041205,2.5e-06,205.15225,313.0
10,1.6328670843691304,0.575332866152768,0.5884460904077373,0.6421484398855846,2.5e-06,204.355609375,313.0
