epoch,loss,accuracy,wf1,uar,lr,time_epoch_sec,drop_audio_rate,drop_text_rate
1,1.5141048211237176,0.5463836801978158,0.5519377443604236,0.49512510087730327,0.0005,48.099140625,0.17903702177347344,0.1805343773610825
2,1.1769346186335052,0.6929459440895666,0.7026234108720364,0.6550056197450731,0.0005,12.3598310546875,0.1812487121368226,0.17855621952057146
3,1.0713120994794516,0.7393090184765437,0.7484638734370584,0.7047109143020224,0.0005,12.656005859375,0.18075417267669483,0.18071296105501752
4,1.0211322698728078,0.7605467408475857,0.7685586224437461,0.7292312048577045,0.0005,14.2210068359375,0.18245758637269044,0.18087780754172678
5,0.989851008500443,0.7741740504155505,0.781807901833949,0.7451682050847463,0.0005,14.2469306640625,0.17796551960986332,0.17942166357579503
6,0.9730432368960794,0.7836115117796552,0.7901751781117987,0.757220376394766,0.0005,14.74641015625,0.17938045195411773,0.18293838862559242
7,0.9541886675840092,0.7909059688165396,0.7976417719479847,0.7666045560171061,0.0005,14.3275712890625,0.17786935915928292,0.17987499141424548
8,0.9356436990579657,0.7997115186482588,0.8058591446859629,0.7768097684874784,0.0005,15.99088671875,0.18072669826224327,0.17870732880005494
9,0.9179495047930137,0.8068273919912082,0.8133711714353434,0.7842429161222059,0.0005,16.035431640625,0.18089154474895253,0.17791057078096023
10,0.9013211180330412,0.8138333676763514,0.8194615088004094,0.7923545711619545,0.0005,14.8471240234375,0.17884470087231266,0.18085033312727522
11,0.8902223311738741,0.8206607596675596,0.8261637581163146,0.7995174408175073,0.0005,15.555677734375,0.18139982141630606,0.17942166357579503
12,0.8764333342300584,0.8277354213888316,0.8332217923643568,0.808354232481751,0.0005,16.514080078125,0.1816196167319184,0.18255374682327083
13,0.8629614210192651,0.8318428463493371,0.8369741372819401,0.8128465400326587,0.00025,17.1662890625,0.18174325159695034,0.1776907754653479
14,0.8096504078321433,0.857586372690432,0.8622622092096803,0.84136675426654,0.00025,11.44275,0.17889964970121575,0.1801909471804382
15,0.7835378563169088,0.8687135105433066,0.8729622307712956,0.8554907230691882,0.00025,11.3454619140625,0.18107012844288756,0.18083659592004944
16,0.7611378569198151,0.8789477299265059,0.883178288800759,0.8673057986102288,0.000125,11.782732421875,0.18358403736520365,0.1796826705130847
17,0.7293300162977026,0.8949103647228518,0.8990465450854741,0.8836688106817964,0.000125,9.1112646484375,0.1819493097053369,0.1801497355587609
18,0.7039529721097751,0.9074112232983035,0.9114121548367851,0.8996149399575416,0.000125,10.782939453125,0.18168830276804726,0.18042447970327632
19,0.6915940657144425,0.9116010715021636,0.9157291351810881,0.9041195545252926,6.25e-05,9.7622890625,0.17990246582869704,0.17681159420289855
20,0.6714624003727314,0.9214506490830414,0.925442849377691,0.9146670901540513,6.25e-05,9.544509765625,0.18045195411772785,0.1796826705130847
