epoch,loss,accuracy,wf1,uar,lr,time_epoch_sec,optimizer_steps
1,1.406505945370508,0.4339927833768819,0.45340942420959457,0.428324354110164,2e-05,83.2615703125,252.0
2,1.0938962965858832,0.6233669279581934,0.6348259084575039,0.6248039285792363,2e-05,51.35149609375,252.0
3,0.9650819813476891,0.7011322632823193,0.7093821259974935,0.7057399407389366,2e-05,49.71861328125,252.0
4,0.8926730187389853,0.7507776533532413,0.7565207516567638,0.7574252516146666,2e-05,50.6516328125,252.0
5,0.8293916353675669,0.7888515615279333,0.7931408060999895,0.7930510194806436,2e-05,51.73241015625,252.0
6,0.7909483731764532,0.8081373646883165,0.8119983273671931,0.8150258479426791,1e-05,51.815921875,252.0
7,0.7083915310059078,0.8545477168097548,0.8570439189763505,0.8596007060702483,1e-05,51.55072265625,252.0
8,0.6827347262242073,0.8677367176807267,0.8699279035077953,0.8709348996336108,1e-05,50.63290234375,252.0
