,anger,disgust,fear,joy,neutral,sadness,surprise
anger,78,12,11,46,141,17,40
disgust,8,3,1,7,34,7,8
fear,6,0,3,6,25,4,6
joy,38,8,9,115,189,18,25
neutral,104,17,28,154,817,58,78
sadness,16,3,5,26,116,28,14
surprise,40,7,2,25,95,14,98
