epoch,loss,accuracy,wf1,uar,lr,time_epoch_sec,optimizer_steps
1,1.2414644867955016,0.5247192461598038,0.5328223236815475,0.5396855656480136,2e-05,286.2181875,243.0
2,0.9849597356143084,0.6805214921905254,0.6857452516779133,0.6915251632131136,2e-05,254.891609375,243.0
3,0.862273751189051,0.7613269652768814,0.7651717702402827,0.7716525288759262,2e-05,250.3261875,243.0
4,0.7878348221698237,0.7947592616496708,0.7974605842632048,0.803255755787253,2e-05,251.763390625,243.0
5,0.732694540306016,0.8301277914031238,0.8317030222428323,0.8385485006981175,2e-05,252.5864375,243.0
6,0.683100131326019,0.8572350587324126,0.8587267504928134,0.8643208137100251,1e-05,251.25096875,243.0
7,0.6003434983348637,0.9038337420937137,0.9043873520556774,0.908117265209827,1e-05,253.6008125,243.0
