epoch,loss,accuracy,wf1,uar,lr,time_epoch_sec,optimizer_steps
1,1.0268154211428835,0.7797929698584841,0.7790645010526233,0.7569104735595271,2e-05,2090.533125,2533.0
2,0.8205564545401977,0.8758559425546878,0.8758321854055858,0.8644821696504464,2e-05,2038.497,2533.0
3,0.7365591670213387,0.9131164328632589,0.9131933068463008,0.903900524470386,2e-05,2221.80725,2533.0
4,0.7010564998692553,0.9281069943615748,0.9281724303698083,0.9205823647064119,2e-05,2704.36575,2533.0
5,0.6742404354858353,0.940679325363043,0.9407370642585493,0.933453726678878,2e-05,27290.618,2533.0
6,0.655634032534361,0.9488840359773476,0.9489271547216147,0.9427863258228459,2e-05,1892.323375,2533.0
7,0.6416834384422473,0.9558919692539265,0.9559188972708063,0.9499991527170769,2e-05,1893.199375,2533.0
8,0.6319263120978397,0.960185562176901,0.9602192334670522,0.9545680711477132,2e-05,1901.19875,2533.0
9,0.6244460139065333,0.9645901962961592,0.9646096382825377,0.9584824075243329,1e-05,1899.9245,2533.0
10,0.5956970041065077,0.9765579696734155,0.9765704277039313,0.9730275318428957,1e-05,1910.08975,2533.0
