epoch,loss,accuracy,wf1,uar,lr,time_epoch_sec,optimizer_steps
1,1.497617254054287,0.5178013565618755,0.5184405475310994,0.49972851659196793,0.001,929.28425,2221.0
2,1.1939885703148694,0.6549069826348822,0.6568864600062829,0.6494879040508883,0.001,885.549625,2221.0
3,1.0783387473525285,0.7136584953983846,0.7149106984278559,0.7115905814763825,0.001,883.3158125,2221.0
4,1.0089426086446234,0.7503869860122147,0.7517150470245094,0.7492553383583626,0.001,885.670875,2221.0
5,0.9526230558542902,0.7754918240409783,0.7763528356939736,0.7760898940274481,0.001,882.54825,2221.0
