epoch,loss,accuracy,wf1,uar,lr,time_epoch_sec,optimizer_steps
1,1.254697206551277,0.5271852237252862,0.5387373564789246,0.540266697131078,2e-05,282.20334375,241.0
2,0.979718696593494,0.6970603537981269,0.7045460892048,0.7119792458282971,2e-05,249.620484375,241.0
3,0.8730017615096503,0.7561134235171696,0.7609471635842285,0.766336620739128,2e-05,249.68671875,241.0
4,0.8002357554547372,0.8004682622268471,0.8041320630398504,0.8141928367154705,2e-05,247.78215625,241.0
5,0.7477163457225439,0.8355879292403746,0.838533565410101,0.8465463611072301,2e-05,249.96059375,241.0
6,0.6931239256129429,0.8657648283038502,0.8674208402252882,0.8765954223464445,2e-05,250.24703125,241.0
7,0.6773486329353067,0.8766909469302809,0.8784276207525785,0.8848017068789941,2e-05,249.629921875,241.0
8,0.6481924141979118,0.8946409989594173,0.8958106346973276,0.9021584574736911,2e-05,249.844265625,241.0
9,0.6256096872591204,0.9041363163371487,0.9050145715540749,0.9081831193346587,2e-05,250.000125,241.0
10,0.6092003823939273,0.9144120707596254,0.9150131204290162,0.9203124416341077,2e-05,250.2953125,241.0
11,0.59695565474145,0.9231269510926119,0.9237019900621203,0.9292159258150224,1e-05,252.18996875,241.0
12,0.5508092631751615,0.9468002081165453,0.9470742942089674,0.9487643251453337,1e-05,249.885421875,241.0
