epoch,loss,accuracy,wf1,uar,lr,time_epoch_sec,optimizer_steps
1,1.2760861791607632,0.517799352750809,0.5288802474709574,0.5359364059471046,2e-05,285.7988125,242.0
2,0.9844410741213456,0.7051132686084143,0.7116716237410253,0.7156107139633331,2e-05,252.6555625,242.0
3,0.8760559262272609,0.7628478964401294,0.7675710800501477,0.7710834349777543,2e-05,251.62575,242.0
4,0.7923792942442168,0.8138511326860841,0.816680261414656,0.8236591301948563,2e-05,251.26265625,242.0
5,0.7510812354936569,0.8319741100323624,0.8339683864846963,0.8390648722942798,2e-05,252.935984375,242.0
6,0.7128689677044026,0.8601941747572815,0.8618465098674187,0.86840277389974,2e-05,253.013609375,242.0
7,0.6791229228371556,0.878705501618123,0.8799655142392391,0.882267148659984,2e-05,252.979421875,242.0
8,0.64868090737599,0.8947572815533981,0.8958011402003898,0.9017347853987399,2e-05,252.224265625,242.0
9,0.6352577221663639,0.9040776699029126,0.9048218745678592,0.91008430148502,1e-05,252.5939375,242.0
10,0.5733432062698414,0.9335922330097087,0.9339344992776254,0.937319262459059,1e-05,250.88684375,242.0
11,0.5588696351425547,0.9449838187702265,0.9451806059813029,0.9478066126009633,1e-05,252.07996875,242.0
12,0.5462746879506651,0.9483495145631068,0.948558972155923,0.9505918913034598,5e-06,252.66028125,242.0
