epoch,loss,accuracy,wf1,uar,lr,time_epoch_sec,optimizer_steps
1,1.3620086559652897,0.44068671743900867,0.4518968785933706,0.44496614169966636,2e-05,83.9131171875,243.0
2,1.0614535773479048,0.6292758487156318,0.637668960598302,0.630037955927397,2e-05,49.71514453125,243.0
3,0.9258789743502494,0.7202788176068156,0.7252768734505344,0.7247316433566459,2e-05,48.57794140625,243.0
4,0.8559867999846664,0.7562927584871563,0.7604498011214696,0.760620450613561,2e-05,48.74095703125,243.0
5,0.7840900063068463,0.7999225506647735,0.8028098769865085,0.8058920641312107,2e-05,49.0713125,243.0
6,0.7546325488537993,0.815799664386214,0.818457774576061,0.8188823288254267,2e-05,49.013296875,243.0
7,0.7288485719139874,0.8358074093197366,0.8378861717934962,0.8358475828955172,1e-05,49.59709765625,243.0
8,0.665837974352607,0.8634310055505356,0.8651506724651246,0.8662298005269407,1e-05,48.6097578125,243.0
