epoch,loss,accuracy,wf1,uar,lr,time_epoch_sec,optimizer_steps
1,1.2875294499293077,0.5010405827263268,0.5136145948807361,0.514883314019311,2e-05,286.05496875,241.0
2,0.9847200886578019,0.6966701352757544,0.703039753045844,0.710688910208371,2e-05,250.159484375,241.0
3,0.8666234543618749,0.7680801248699272,0.7722654658169007,0.7820739657720039,2e-05,252.306015625,241.0
4,0.8040955534958815,0.8000780437044746,0.8036948569779889,0.8123439904179608,2e-05,251.311734375,241.0
5,0.7405136111623662,0.8355879292403746,0.8379579107938462,0.8480998425154663,1e-05,250.1194375,241.0
6,0.6602426704395326,0.8831945889698231,0.8842827551157364,0.8919193166165482,1e-05,253.248109375,241.0
7,0.6228345071549967,0.9016649323621228,0.9023957051300531,0.9098623246806677,1e-05,253.812640625,241.0
8,0.600032894314886,0.9132414151925078,0.913782524029446,0.9221505646402962,1e-05,253.4341875,241.0
9,0.5856624641353952,0.923907388137357,0.9244909216731343,0.9295920752112184,1e-05,253.055546875,241.0
10,0.5761614741445455,0.927159209157128,0.9277602810336306,0.9334949661978041,5e-06,251.497796875,241.0
