epoch,loss,accuracy,wf1,uar,lr,time_epoch_sec,optimizer_steps
1,1.6992141633302555,0.48317725876300105,0.47170640753620285,0.4008567382493394,0.001,1100.350875,2533.0
2,1.439500871022313,0.587124156395356,0.5805265827480816,0.5178900953307246,0.001,1067.45075,2533.0
3,1.3619051763959051,0.620843666333543,0.6159120289810996,0.5649982343144057,0.001,1102.54225,2533.0
4,1.3164975098420144,0.6419785073595637,0.6381980182889418,0.5921258510514763,0.001,1100.91675,2533.0
5,1.2505028633931272,0.6739583718893043,0.6707662118949881,0.632600756743704,0.001,1113.625125,2533.0
